Province,Age,Gender,Education,Total_count,cell,estimate_logodds,estimate,vote_prediction,Liberal_Party,Conservative_Party
Newfoundland and Labrador,25 to 34,Male,No degree,144,Male 25 to 34,1.3109623441977172,0.7876741463280259,Liberal Party,144,0
Newfoundland and Labrador,25 to 34,Male,High School,176,Male 25 to 34,0.7682821118582728,0.6831491629298372,Liberal Party,176,0
Newfoundland and Labrador,25 to 34,Male,College,178,Male 25 to 34,0.8626844263730162,0.7032212026571426,Liberal Party,178,0
Newfoundland and Labrador,25 to 34,Male,Some university,71,Male 25 to 34,1.2714955571488429,0.7809986551388639,Liberal Party,71,0
Newfoundland and Labrador,25 to 34,Male,University or above,169,Male 25 to 34,1.3666290937936671,0.7968349869775356,Liberal Party,169,0
Newfoundland and Labrador,25 to 34,Female,No degree,124,Female 25 to 34,1.1915507177237903,0.7670182941311272,Liberal Party,124,0
Newfoundland and Labrador,25 to 34,Female,High School,174,Female 25 to 34,0.6488704853843459,0.6567558840148993,Liberal Party,174,0
Newfoundland and Labrador,25 to 34,Female,College,199,Female 25 to 34,0.7432727998990893,0.6777111124996649,Liberal Party,199,0
Newfoundland and Labrador,25 to 34,Female,Some university,68,Female 25 to 34,1.152083930674916,0.7598913495209619,Liberal Party,68,0
Newfoundland and Labrador,25 to 34,Female,University or above,213,Female 25 to 34,1.2472174673197403,0.7768178198176444,Liberal Party,213,0
Newfoundland and Labrador,35 to 44,Male,No degree,161,Male 35 to 44,0.36125134166331907,0.5893433148024032,Liberal Party,161,0
Newfoundland and Labrador,35 to 44,Male,High School,175,Male 35 to 44,-0.18142889067612544,0.45476678568940465,Conservative Party,0,175
Newfoundland and Labrador,35 to 44,Male,College,198,Male 35 to 44,-0.08702657616138176,0.478257076956506,Conservative Party,0,198
Newfoundland and Labrador,35 to 44,Male,Some university,74,Male 35 to 44,0.3217845546144448,0.5797591001115584,Liberal Party,74,0
Newfoundland and Labrador,35 to 44,Male,University or above,170,Male 35 to 44,0.41691809125926904,0.6027455414810537,Liberal Party,170,0
Newfoundland and Labrador,35 to 44,Female,No degree,147,Female 35 to 44,0.775081657293874,0.684619131687213,Liberal Party,147,0
Newfoundland and Labrador,35 to 44,Female,High School,177,Female 35 to 44,0.2324014249544295,0.5578402588803655,Liberal Party,177,0
Newfoundland and Labrador,35 to 44,Female,College,244,Female 35 to 44,0.3268037394691732,0.5809814747961105,Liberal Party,244,0
Newfoundland and Labrador,35 to 44,Female,Some university,88,Female 35 to 44,0.7356148702449997,0.6760362058027315,Liberal Party,88,0
Newfoundland and Labrador,35 to 44,Female,University or above,202,Female 35 to 44,0.830748406889824,0.6965131532663599,Liberal Party,202,0
Newfoundland and Labrador,45 to 54,Male,No degree,184,Male 45 to 54,0.7151645509008202,0.671541330829818,Liberal Party,184,0
Newfoundland and Labrador,45 to 54,Male,High School,189,Male 45 to 54,0.1724843185613758,0.5430144893818025,Liberal Party,189,0
Newfoundland and Labrador,45 to 54,Male,College,215,Male 45 to 54,0.2668866330761195,0.5663284188525733,Liberal Party,215,0
Newfoundland and Labrador,45 to 54,Male,Some university,83,Male 45 to 54,0.6756977638519461,0.6627778074620515,Liberal Party,83,0
Newfoundland and Labrador,45 to 54,Male,University or above,167,Male 45 to 54,0.7708313004967704,0.6837006932868243,Liberal Party,167,0
Newfoundland and Labrador,45 to 54,Female,No degree,173,Female 45 to 54,0.8561251043097011,0.7018504423469726,Liberal Party,173,0
Newfoundland and Labrador,45 to 54,Female,High School,207,Female 45 to 54,0.3134448719702567,0.5777258918228282,Liberal Party,207,0
Newfoundland and Labrador,45 to 54,Female,College,268,Female 45 to 54,0.4078471864850004,0.6005715623895318,Liberal Party,268,0
Newfoundland and Labrador,45 to 54,Female,Some university,98,Female 45 to 54,0.816658317260827,0.6935265335556111,Liberal Party,98,0
Newfoundland and Labrador,45 to 54,Female,University or above,181,Female 45 to 54,0.9117918539056513,0.71336669149529,Liberal Party,181,0
Newfoundland and Labrador,55 to 64,Male,No degree,212,Male 55 to 64,0.8944116752079228,0.7097997477613736,Liberal Party,212,0
Newfoundland and Labrador,55 to 64,Male,High School,205,Male 55 to 64,0.35173144286847835,0.5870373862377615,Liberal Party,205,0
Newfoundland and Labrador,55 to 64,Male,College,190,Male 55 to 64,0.44613375738322203,0.6097196078939133,Liberal Party,190,0
Newfoundland and Labrador,55 to 64,Male,Some university,94,Male 55 to 64,0.8549448881590487,0.7016034157455648,Liberal Party,94,0
Newfoundland and Labrador,55 to 64,Male,University or above,162,Male 55 to 64,0.950078424803873,0.7211309496109395,Liberal Party,162,0
Newfoundland and Labrador,55 to 64,Female,No degree,216,Female 55 to 64,1.1465155116585763,0.7588738855237082,Liberal Party,216,0
Newfoundland and Labrador,55 to 64,Female,High School,240,Female 55 to 64,0.603835279319132,0.6465332667180647,Liberal Party,240,0
Newfoundland and Labrador,55 to 64,Female,College,235,Female 55 to 64,0.6982375938338756,0.6677969082763505,Liberal Party,235,0
Newfoundland and Labrador,55 to 64,Female,Some university,102,Female 55 to 64,1.1070487246097023,0.751578493162713,Liberal Party,102,0
Newfoundland and Labrador,55 to 64,Female,University or above,164,Female 55 to 64,1.2021822612545265,0.7689127681346689,Liberal Party,164,0
Prince Edward Island,25 to 34,Male,No degree,63,Male 25 to 34,-0.04719214772648539,0.488204152197004,Conservative Party,0,63
Prince Edward Island,25 to 34,Male,High School,138,Male 25 to 34,-0.5898723800659298,0.3566641367802254,Conservative Party,0,138
Prince Edward Island,25 to 34,Male,College,115,Male 25 to 34,-0.49547006555118633,0.37860580925651793,Conservative Party,0,115
Prince Edward Island,25 to 34,Male,Some university,13,Male 25 to 34,-0.08665893477535969,0.47834881423109515,Conservative Party,0,13
Prince Edward Island,25 to 34,Male,University or above,123,Male 25 to 34,0.008474601869464582,0.5021186377875324,Liberal Party,123,0
Prince Edward Island,25 to 34,Female,No degree,40,Female 25 to 34,0.4285060705699033,0.6055168755115116,Liberal Party,40,0
Prince Edward Island,25 to 34,Female,High School,111,Female 25 to 34,-0.1141741617695411,0.47148742636983737,Conservative Party,0,111
Prince Edward Island,25 to 34,Female,College,134,Female 25 to 34,-0.019771847254797636,0.4950571992076736,Conservative Party,0,134
